     t   Part   Pven IMPLAD
0.12100 5064.81204 2622.15104 6486.44114
0.12200 5063.76030 2622.33756 6489.57389
0.12300 5063.23610 2622.52520 6493.03321
0.12400 5061.27905 2622.71393 6496.75450
0.12500 5062.73814 2622.90370 6500.77706
0.12600 5089.08047 2623.09447 6505.10839
0.12700 5110.55450 2623.28619 6509.76434
0.12800 5133.19870 2623.47883 6514.75750
0.12900 5155.60681 2623.67235 6520.10042
0.13000 5177.89585 2623.86672 6525.80472
0.13100 5200.18524 2624.06192 6531.88126
0.13200 5222.37263 2624.25790 6538.34013
0.13300 5244.51290 2624.45463 6545.19055
0.13400 5266.58036 2624.65210 6552.44095
0.13500 5288.58462 2624.85027 6560.09899
0.13600 5310.52124 2625.04911 6568.17152
0.13700 5332.39085 2625.24860 6576.66372
0.13800 5354.19231 2625.44872 6585.58076
0.13900 5375.92499 2625.64945 6594.92641
0.14000 5397.58803 2625.85075 6604.70322
0.14100 5419.18059 2626.05262 6614.91309
0.14200 5440.70176 2626.25502 6625.55681
0.14300 5462.15056 2626.45794 6636.63416
0.14400 5483.52600 2626.66137 6648.14383
0.14500 5504.82702 2626.86528 6660.08344
0.14600 5526.05259 2627.06966 6672.44953
0.14700 5547.20137 2627.27449 6685.23750
0.14800 5568.27210 2627.47975 6698.44166
0.14900 5589.26347 2627.68544 6712.05517
0.15000 5610.17400 2627.89153 6726.07006
0.15100 5631.00214 2628.09801 6740.47721
0.15200 5651.74631 2628.30488 6755.26639
0.15300 5672.40484 2628.51211 6770.42619
0.15400 5692.97595 2628.71969 6785.94415
0.15500 5713.45777 2628.92762 6801.80658
0.15600 5733.84835 2629.13588 6817.99868
0.15700 5754.14563 2629.34446 6834.50466
0.15800 5774.34747 2629.55335 6851.30759
0.15900 5794.45160 2629.76255 6868.38955
0.16000 5814.45570 2629.97204 6885.73159
0.16100 5834.35732 2630.18181 6903.31380
0.16200 5854.15392 2630.39186 6921.11622
0.16300 5873.84288 2630.60218 6939.11607
0.16400 5893.42147 2630.81275 6957.29090
0.16500 5912.88693 2631.02358 6975.61741
0.16600 5932.23636 2631.23466 6994.07156
0.16700 5951.46677 2631.44597 7012.62864
0.16800 5970.57511 2631.65752 7031.26505
0.16900 5989.55826 2631.86929 7049.95277
0.17000 6008.41304 2632.08129 7068.66661
0.17100 6027.13619 2632.29350 7087.37919
0.17200 6045.72439 2632.50592 7106.06390
0.17300 6064.17430 2632.71854 7124.69395
0.17400 6082.48285 2632.93137 7143.24398
0.17500 6100.64618 2633.14439 7161.68434
0.17600 6118.66070 2633.35760 7179.98879
0.17700 6136.52281 2633.57100 7198.13068
0.17800 6154.22888 2633.78459 7216.08369
0.17900 6171.77508 2633.99835 7233.82198
0.18000 6189.15831 2634.21229 7251.32116
0.18100 6206.37441 2634.42640 7268.55519
0.18200 6223.41928 2634.64068 7285.50048
0.18300 6240.28905 2634.85513 7302.13393
0.18400 6256.97948 2635.06974 7318.43330
0.18500 6273.48648 2635.28451 7334.37736
0.18600 6289.80627 2635.49944 7349.94593
0.18700 6305.93495 2635.71453 7365.11997
0.18800 6321.86734 2635.92977 7379.88163
0.18900 6337.59919 2636.14516 7394.21431
0.19000 6353.12601 2636.36069 7408.10268
0.19100 6368.44325 2636.57638 7421.53277
0.19200 6383.54626 2636.79221 7434.49192
0.19300 6398.43094 2637.00818 7446.96884
0.19400 6413.09207 2637.22430 7458.95362
0.19500 6427.52463 2637.44055 7470.43765
0.19600 6441.72378 2637.65694 7481.41382
0.19700 6455.68457 2637.87347 7491.87617
0.19800 6469.40199 2638.09014 7501.81976
0.19900 6482.87102 2638.30693 7511.24113
0.20000 6496.08659 2638.52386 7520.13791
0.20100 6509.04362 2638.74093 7528.50877
0.20200 6521.73703 2638.95812 7536.35345
0.20300 6534.16175 2639.17544 7543.67256
0.20400 6546.31272 2639.39289 7550.46759
0.20500 6558.18493 2639.61047 7556.74082
0.20600 6569.77344 2639.82817 7562.49524
0.20700 6581.07337 2640.04600 7567.73458
0.20800 6592.07994 2640.26395 7572.46330
0.20900 6602.78848 2640.48203 7576.68568
0.21000 6613.19450 2640.70023 7580.40704
0.21100 6623.29366 2640.91855 7583.63292
0.21200 6633.08168 2641.13700 7586.36926
0.21300 6642.55447 2641.35556 7588.62239
0.21400 6651.70823 2641.57425 7590.39857
0.21500 6660.53932 2641.79305 7591.70448
0.21600 6669.04437 2642.01198 7592.54698
0.21700 6677.22022 2642.23102 7592.93326
0.21800 6685.06398 2642.45018 7592.87005
0.21900 6692.57303 2642.66945 7592.36464
